Ano,Veículo,Contagem
2016,Motocicleta,49169
2016,Motoneta,23761
2016,Ônibus,748
2016,Quadriciclo,2
2016,Reboque,2235
2016,Semi-reboque,9557
2016,Sidecar,17
2016,Trator de esteira,2
2016,Trator de rodas,901
2016,Triciclo,38
2016,Utilitário,3724
2016,Outros,15
2017,Total,272395
2017,Automóvel,143113
2017,Bonde,0
2017,Caminhão,5482
2017,Caminhão trator,5124
2017,Caminhonete,11536
2017,Camioneta,14012
2017,Chassi plataforma,6
2017,Ciclomotor,676
2017,Micro-ônibus,952
2017,Motocicleta,49562
2017,Motoneta,24385
2017,Ônibus,675
2017,Quadriciclo,2
2017,Reboque,2299
2017,Semi-reboque,9587
2017,Sidecar,17
2017,Trator de esteira,2
2017,Trator de rodas,894
2017,Triciclo,43
2017,Utilitário,4010
2017,Outros,18
2018,Total,275300
2018,Automóvel,143702
2018,Bonde,0
2018,Caminhão,5420
2018,Caminhão trator,5268
2018,Caminhonete,11601
2018,Camioneta,14635
2018,Chassi plataforma,3
2018,Ciclomotor,714
2018,Micro-ônibus,936
2018,Motocicleta,50113
2018,Motoneta,24942
2018,Ônibus,693
2018,Quadriciclo,2
2018,Reboque,2389
2018,Semi-reboque,9581
2018,Sidecar,17
2018,Trator de esteira,2
2018,Trator de rodas,904
2018,Triciclo,41
2018,Utilitário,4322
2018,Outros,15
2019,Total,277484
2019,Automóvel,143372
2019,Bonde,0
2019,Caminhão,5352
2019,Caminhão trator,5405
2019,Caminhonete,11919
2019,Camioneta,14692
2019,Chassi plataforma,2
2019,Ciclomotor,712
2019,Micro-ônibus,935
2019,Motocicleta,50792
2019,Motoneta,25667
2019,Ônibus,650
2019,Quadriciclo,2
2019,Reboque,2488
2019,Semi-reboque,9743
2019,Sidecar,17
2019,Trator de esteira,2
2019,Trator de rodas,915
2019,Triciclo,51
2019,Utilitário,4745
2019,Outros,23
2020,Total,278459
2020,Automóvel,142348
2020,Bonde,0
2020,Caminhão,5270
2020,Caminhão trator,5376
2020,Caminhonete,12127
2020,Camioneta,14651
2020,Chassi plataforma,1
2020,Ciclomotor,722
2020,Micro-ônibus,942
2020,Motocicleta,51416
2020,Motoneta,26285
2020,Ônibus,659
2020,Quadriciclo,1
2020,Reboque,2576
2020,Semi-reboque,9910
2020,Sidecar,17
2020,Trator de esteira,2
2020,Trator de rodas,927
2020,Triciclo,63
2020,Utilitário,5140
2020,Outros,26
2021,Total,279003
2021,Automóvel,140162
2021,Bonde,0
2021,Caminhão,5178
2021,Caminhão trator,5544
2021,Caminhonete,12333
2021,Camioneta,14705
2021,Chassi plataforma,1
2021,Ciclomotor,725
2021,Micro-ônibus,902
2021,Motocicleta,51729
2021,Motoneta,27343
2021,Ônibus,809
2021,Quadriciclo,1
2021,Reboque,2699
2021,Semi-reboque,10127
2021,Sidecar,17
2021,Trator de esteira,2
2021,Trator de rodas,932
2021,Triciclo,67
2021,Utilitário,5695
2021,Outros,32
2022,Total,281536
2022,Automóvel,139221
2022,Bonde,0
2022,Caminhão,5204
2022,Caminhão trator,5703
2022,Caminhonete,12618
2022,Camioneta,15195
2022,Chassi plataforma,1
2022,Ciclomotor,750
2022,Micro-ônibus,869
2022,Motocicleta,52274
2022,Motoneta,28366
2022,Ônibus,915
2022,Quadriciclo,1
2022,Reboque,2792
2022,Semi-reboque,10387
2022,Sidecar,17
2022,Trator de esteira,2
2022,Trator de rodas,941
2022,Triciclo,69
2022,Utilitário,6173
2022,Outros,38
2023,Total,284562
2023,Automóvel,139362
2023,Bonde,0
2023,Caminhão,5197
2023,Caminhão trator,5579
2023,Caminhonete,12905
2023,Camioneta,15581
2023,Chassi plataforma,1
2023,Ciclomotor,780
2023,Micro-ônibus,882
2023,Motocicleta,53007
2023,Motoneta,29403
2023,Ônibus,892
2023,Quadriciclo,1
2023,Reboque,2912
2023,Semi-reboque,10325
2023,Sidecar,17
2023,Trator de esteira,2
2023,Trator de rodas,952
2023,Triciclo,72
2023,Utilitário,6646
2023,Outros,46
